gene_name,go_domain,go_annotation
YMR182C,Cellular component,nucle
YMR182C,Cellular component,cytosol
YBR201W,Cellular component,membrane
YBR201W,Cellular component,endoplasm
YLL043W,Cellular component,membrane
YOL133W,Cellular component,nucle
YOL133W,Cellular component,cytoplasm
YNL263C,Cellular component,membrane
YNL263C,Cellular component,endoplasm
YDR128W,Cellular component,membrane
YOR193W,Cellular component,membrane
YER028C,Cellular component,nucle
YMR052W,Cellular component,endoplasm
YMR203W,Cellular component,membrane
YMR203W,Cellular component,mitochond
YKR076W,Cellular component,cytoplasm
YDR225W,Cellular component,nucle
YDR270W,Cellular component,membrane
YGR230W,Cellular component,cellular_component
YER173W,Cellular component,nucle
YBR026C,Cellular component,mitochond
YDL185W,Cellular component,membrane
YBR091C,Cellular component,membrane
YBR091C,Cellular component,mitochond
YPL227C,Cellular component,membrane
YPL227C,Cellular component,endoplasm
YDL010W,Cellular component,membrane
YDL010W,Cellular component,endoplasm
YDL045C,Cellular component,cytoplasm
YLR163C,Cellular component,mitochond
YLR178C,Cellular component,membrane
YLR178C,Cellular component,cytoplasm
YBL079W,Cellular component,nucle
YFL001W,Cellular component,nucle
YFL001W,Cellular component,cytoplasm
YDR150W,Cellular component,endoplasm
YKL125W,Cellular component,nucle
YKL125W,Cellular component,nucleolus
YKL170W,Cellular component,mitochond
YKL170W,Cellular component,ribosomal
YLR384C,Cellular component,nucle
YLR384C,Cellular component,cytoplasm
YPL060W,Cellular component,membrane
YPL060W,Cellular component,mitochond
YML099C,Cellular component,nucle
YLR090W,Cellular component,membrane
YLR090W,Cellular component,mitochond
YDL212W,Cellular component,membrane
YDL212W,Cellular component,endoplasm
YMR029C,Cellular component,endoplasm
YIR030C,Cellular component,cellular_component
YKR050W,Cellular component,membrane
YMR121C,Cellular component,cytosol
YMR121C,Cellular component,ribosomal
YNL038W,Cellular component,membrane
YOL165C,Cellular component,cellular_component
YIL139C,Cellular component,mitochond
YIL139C,Cellular component,nucle
YLR246W,Cellular component,membrane
YLR246W,Cellular component,endoplasm
YLR359W,Cellular component,cellular_component
YGL142C,Cellular component,membrane
YGR179C,Cellular component,nucle
YGR102C,Cellular component,mitochond
YGL255W,Cellular component,membrane
YFR007W,Cellular component,cellular_component
YLR333C,Cellular component,cytosol
YLR333C,Cellular component,ribosomal
YHL030W,Cellular component,nucle
YGL077C,Cellular component,membrane
YPL204W,Cellular component,nucle
YPL204W,Cellular component,membrane
YOR091W,Cellular component,cytoplasm
YAL040C,Cellular component,nucle
YGL208W,Cellular component,cytoplasm
YGL208W,Cellular component,membrane
YGL208W,Cellular component,nucle
YNL284C,Cellular component,mitochond
YNL284C,Cellular component,ribosomal
YIL164C,Cellular component,cellular_component
YOL143C,Cellular component,membrane
YOL143C,Cellular component,mitochond
YHR147C,Cellular component,mitochond
YHR147C,Cellular component,ribosomal
YPL126W,Cellular component,nucle
YPL126W,Cellular component,nucleolus
YCL008C,Cellular component,membrane
YCL008C,Cellular component,cytoplasm
YEL064C,Cellular component,endoplasm
YOR393W,Cellular component,cellular_component
YDL059C,Cellular component,nucle
YOR204W,Cellular component,nucle
YOR204W,Cellular component,cytoplasm
YEL012W,Cellular component,cytoplasm
YBL040C,Cellular component,membrane
YBL040C,Cellular component,endoplasm
YPR043W,Cellular component,cytosol
YPR043W,Cellular component,ribosomal
YDR382W,Cellular component,cytosol
YDR382W,Cellular component,ribosomal
YHR090C,Cellular component,nucle
YHR090C,Cellular component,cytosol
YDL066W,Cellular component,mitochond
YDL066W,Cellular component,nucle
YHR030C,Cellular component,nucle
YHR030C,Cellular component,mitochond
YDR143C,Cellular component,nucle
YDR143C,Cellular component,cytoplasm
YEL034W,Cellular component,cytosol
YHL015W,Cellular component,cytosol
YHL015W,Cellular component,ribosomal
YGR004W,Cellular component,membrane
YML110C,Cellular component,mitochond
YGL048C,Cellular component,nucle
YKL106W,Cellular component,mitochond
YJL034W,Cellular component,endoplasm
YFL048C,Cellular component,membrane
YFL048C,Cellular component,endoplasm
YOR176W,Cellular component,membrane
YOR176W,Cellular component,mitochond
YOR109W,Cellular component,cytoplasm
YOR109W,Cellular component,membrane
YGL116W,Cellular component,nucle
YCR024C,Cellular component,mitochond
YCR071C,Cellular component,mitochond
YCR071C,Cellular component,ribosomal
YOR154W,Cellular component,membrane
YOR154W,Cellular component,endoplasm
YPR121W,Cellular component,cellular_component
YBR070C,Cellular component,membrane
YBR070C,Cellular component,endoplasm
YBR070C,Cellular component,nucle
YNL315C,Cellular component,mitochond
YPR174C,Cellular component,nucle
YJR045C,Cellular component,membrane
YJR045C,Cellular component,mitochond
YJR045C,Cellular component,nucle
YMR008C,Cellular component,endoplasm
YMR008C,Cellular component,membrane
YKL062W,Cellular component,nucle
YKL062W,Cellular component,cytosol
YDR093W,Cellular component,membrane
YMR282C,Cellular component,mitochond
YJL156C,Cellular component,membrane
YNL071W,Cellular component,mitochond
YMR088C,Cellular component,membrane
YGR211W,Cellular component,nucle
YGR211W,Cellular component,cytoplasm
YKL139W,Cellular component,nucle
YKL139W,Cellular component,nucleolus
YJL069C,Cellular component,nucle
YJL069C,Cellular component,nucleolus
YDR332W,Cellular component,mitochond
YPL189W,Cellular component,membrane
YCR086W,Cellular component,nucle
YCR086W,Cellular component,nucleolus
YKR024C,Cellular component,nucle
YKR024C,Cellular component,nucleolus
YOR076C,Cellular component,cytoplasm
YDR405W,Cellular component,mitochond
YDR405W,Cellular component,ribosomal
YIL027C,Cellular component,membrane
YNR026C,Cellular component,endoplasm
YPR204W,Cellular component,cellular_component
YNL297C,Cellular component,membrane
YBR170C,Cellular component,membrane
YBR170C,Cellular component,nucle
YBR170C,Cellular component,endoplasm
YKL193C,Cellular component,nucle
YLR310C,Cellular component,nucle
YLR310C,Cellular component,cytoplasm
YLR310C,Cellular component,membrane
YLR310C,Cellular component,endoplasm
YLR310C,Cellular component,cytosol
YNR008W,Cellular component,nucle
YNR008W,Cellular component,endoplasm
YFL011W,Cellular component,membrane
YMR190C,Cellular component,nucle
YMR190C,Cellular component,nucleolus
YLR325C,Cellular component,cytosol
YLR325C,Cellular component,ribosomal
YOR272W,Cellular component,nucle
YOR272W,Cellular component,nucleolus
YCL032W,Cellular component,cytoplasm
YJL198W,Cellular component,membrane
YLL041C,Cellular component,mitochond
YLL041C,Cellular component,membrane
YOR195W,Cellular component,nucle
YER026C,Cellular component,membrane
YER026C,Cellular component,mitochond
YER026C,Cellular component,endoplasm
YMR201C,Cellular component,nucle
YLR069C,Cellular component,mitochond
YML042W,Cellular component,mitochond
YOR298W,Cellular component,cellular_component
YPR035W,Cellular component,nucle
YDR227W,Cellular component,nucle
YKR013W,Cellular component,extracellular
YOR157C,Cellular component,nucle
YOR157C,Cellular component,membrane
YOR157C,Cellular component,endoplasm
YCR072C,Cellular component,nucle
YCR072C,Cellular component,nucleolus
YGL054C,Cellular component,membrane
YGL054C,Cellular component,endoplasm
YLR134W,Cellular component,nucle
YPL270W,Cellular component,membrane
YPL270W,Cellular component,mitochond
YDL012C,Cellular component,membrane
YDR218C,Cellular component,membrane
YFL003C,Cellular component,nucle
YGL139W,Cellular component,endoplasm
YGL139W,Cellular component,membrane
YNL054W,Cellular component,membrane
YOR137C,Cellular component,cellular_component
YKL172W,Cellular component,nucle
YKL172W,Cellular component,nucleolus
YJL057C,Cellular component,cellular_component
YPR100W,Cellular component,mitochond
YPR100W,Cellular component,ribosomal
YLR096W,Cellular component,membrane
YKR052C,Cellular component,membrane
YKR052C,Cellular component,mitochond
YER040W,Cellular component,nucle
YER040W,Cellular component,cytosol
YJR066W,Cellular component,membrane
YJR066W,Cellular component,nucle
YJR066W,Cellular component,cytoplasm
YMR127C,Cellular component,nucle
YIL140W,Cellular component,membrane
YLR197W,Cellular component,nucle
YLR197W,Cellular component,nucleolus
YBR213W,Cellular component,cellular_component
YAL064W,Cellular component,cellular_component
YLR244C,Cellular component,cytoplasm
YLR244C,Cellular component,cytosol
YLR233C,Cellular component,nucle
YLR233C,Cellular component,nucleolus
YGL084C,Cellular component,endoplasm
YGL084C,Cellular component,membrane
YPR033C,Cellular component,cytoplasm
YPR033C,Cellular component,mitochond
YLR382C,Cellular component,mitochond
YLR219W,Cellular component,cellular_component
YDR363W,Cellular component,nucle
YNL163C,Cellular component,cytoplasm
YFR005C,Cellular component,nucle
YFR050C,Cellular component,nucle
YFR050C,Cellular component,membrane
YFR050C,Cellular component,endoplasm
YNR069C,Cellular component,cellular_component
YGL071W,Cellular component,nucle
YGL071W,Cellular component,cytoplasm
YGR020C,Cellular component,membrane
YAL046C,Cellular component,mitochond
YDR198C,Cellular component,cellular_component
YAL039C,Cellular component,membrane
YAL039C,Cellular component,mitochond
YGR100W,Cellular component,cytoplasm
YER060W,Cellular component,membrane
YHR141C,Cellular component,cytosol
YHR141C,Cellular component,ribosomal
YPL128C,Cellular component,nucle
YJL091C,Cellular component,membrane
YGL100W,Cellular component,nucle
YGL100W,Cellular component,membrane
YPL239W,Cellular component,nucle
YPR183W,Cellular component,endoplasm
YPR183W,Cellular component,membrane
YPR183W,Cellular component,nucle
YOR206W,Cellular component,nucle
YEL049W,Cellular component,cellular_component
YOR391C,Cellular component,cellular_component
YLR075W,Cellular component,cytosol
YLR075W,Cellular component,ribosomal
YBR054W,Cellular component,membrane
YLR020C,Cellular component,membrane
YIL013C,Cellular component,membrane
YPL206C,Cellular component,mitochond
YDL060W,Cellular component,nucle
YDL060W,Cellular component,nucleolus
YDL060W,Cellular component,cytoplasm
YBR293W,Cellular component,membrane
YNR052C,Cellular component,cytoplasm
YEL032W,Cellular component,nucle
YEL032W,Cellular component,cytoplasm
YHR203C,Cellular component,cytosol
YHR203C,Cellular component,ribosomal
YML112W,Cellular component,nucle
YML112W,Cellular component,nucleolus
YGL241W,Cellular component,nucle
YGL241W,Cellular component,cytoplasm
YDR057W,Cellular component,endoplasm
YJL036W,Cellular component,cytosol
YJL036W,Cellular component,membrane
YER009W,Cellular component,nucle
YMR104C,Cellular component,nucle
YER185W,Cellular component,membrane
YCR026C,Cellular component,cellular_component
YBR076W,Cellular component,cellular_component
YLL019C,Cellular component,nucle
YLL019C,Cellular component,cytoplasm
YKR026C,Cellular component,nucle
YKL060C,Cellular component,mitochond
YKL060C,Cellular component,cytosol
YCR044C,Cellular component,membrane
YCR044C,Cellular component,endoplasm
YNL073W,Cellular component,mitochond
YMR280C,Cellular component,nucle
YFL020C,Cellular component,cytoplasm
YFL020C,Cellular component,membrane
YNL328C,Cellular component,membrane
YNL328C,Cellular component,mitochond
YGR217W,Cellular component,membrane
YPR149W,Cellular component,membrane
YCR084C,Cellular component,nucle
YHR178W,Cellular component,nucle
YPL170W,Cellular component,membrane
YJL221C,Cellular component,cellular_component
YDR204W,Cellular component,membrane
YDR204W,Cellular component,mitochond
YOR074C,Cellular component,nucle
YPL028W,Cellular component,cytoplasm
YJR152W,Cellular component,membrane
YAR008W,Cellular component,nucle
YBR158W,Cellular component,nucle
YBR158W,Cellular component,cytoplasm
YNR020C,Cellular component,membrane
YNR020C,Cellular component,mitochond
YBR223C,Cellular component,nucle
YJL154C,Cellular component,membrane
YDR091C,Cellular component,nucle
YDR091C,Cellular component,cytoplasm
YDR091C,Cellular component,cytosol
YHR066W,Cellular component,nucle
YHR066W,Cellular component,nucleolus
YPL188W,Cellular component,mitochond
YBR176W,Cellular component,mitochond
YPL173W,Cellular component,mitochond
YPL173W,Cellular component,ribosomal
YDR373W,Cellular component,membrane
YGL238W,Cellular component,nucle
YJL165C,Cellular component,cellular_component
YNL128W,Cellular component,cytoplasm
YLR312C,Cellular component,nucle
YLR312C,Cellular component,endoplasm
YHR120W,Cellular component,mitochond
YER111C,Cellular component,nucle
YOL039W,Cellular component,cytosol
YOL039W,Cellular component,ribosomal
YGL173C,Cellular component,cytoplasm
YGL173C,Cellular component,nucle
YDR411C,Cellular component,endoplasm
YLR136C,Cellular component,nucle
YLR136C,Cellular component,cytoplasm
YMR207C,Cellular component,mitochond
YOR197W,Cellular component,nucle
YOR197W,Cellular component,cytosol
YKR072C,Cellular component,nucle
YKR072C,Cellular component,cytoplasm
YDL014W,Cellular component,nucle
YDL014W,Cellular component,nucleolus
YDR260C,Cellular component,nucle
YER024W,Cellular component,cytosol
YOR230W,Cellular component,nucle
YGR234W,Cellular component,mitochond
YGR234W,Cellular component,cytosol
YGR234W,Cellular component,cytoplasm
YPR037C,Cellular component,membrane
YPR037C,Cellular component,endoplasm
YNL090W,Cellular component,membrane
YOR307C,Cellular component,endoplasm
YBR095C,Cellular component,nucle
YBR095C,Cellular component,cytosol
YDR036C,Cellular component,mitochond
YOL002C,Cellular component,membrane
YCR010C,Cellular component,membrane
YMR125W,Cellular component,nucle
YJR031C,Cellular component,membrane
YGL180W,Cellular component,membrane
YGL180W,Cellular component,cytosol
YGR118W,Cellular component,cytosol
YGR118W,Cellular component,ribosomal
YPR102C,Cellular component,cytosol
YPR102C,Cellular component,ribosomal
YGL123W,Cellular component,cytosol
YGL123W,Cellular component,ribosomal
YPL086C,Cellular component,nucle
YPL086C,Cellular component,cytoplasm
YMR042W,Cellular component,nucle
YDR221W,Cellular component,endoplasm
YLR109W,Cellular component,cytoplasm
YMR078C,Cellular component,nucle
YNL161W,Cellular component,nucle
YNL161W,Cellular component,cytoplasm
YIL146C,Cellular component,membrane
YIL146C,Cellular component,mitochond
YLR195C,Cellular component,cytosol
YKL016C,Cellular component,mitochond
YPL111W,Cellular component,cytosol
YLR380W,Cellular component,cytosol
YMR012W,Cellular component,cytoplasm
YFR003C,Cellular component,nucle
YIL033C,Cellular component,nucle
YIL033C,Cellular component,cytoplasm
YIL033C,Cellular component,membrane
YOR368W,Cellular component,nucle
YGR128C,Cellular component,nucle
YGR128C,Cellular component,nucleolus
YIL048W,Cellular component,membrane
YGL073W,Cellular component,nucle
YGR106C,Cellular component,membrane
YGR106C,Cellular component,endoplasm
YGL086W,Cellular component,nucle
YAL044C,Cellular component,mitochond
YPR081C,Cellular component,cytoplasm
YDR284C,Cellular component,membrane
YJL097W,Cellular component,membrane
YJL097W,Cellular component,endoplasm
YOR048C,Cellular component,nucle
YHR143W,Cellular component,extracellular
YCL004W,Cellular component,mitochond
YDR430C,Cellular component,mitochond
YDR430C,Cellular component,membrane
YGR193C,Cellular component,mitochond
YDR487C,Cellular component,membrane
YDR487C,Cellular component,mitochond
YDR487C,Cellular component,cytosol
YPR185W,Cellular component,membrane
YER065C,Cellular component,cytoplasm
YLR077W,Cellular component,membrane
YLR077W,Cellular component,mitochond
YNL219C,Cellular component,endoplasm
YHR034C,Cellular component,nucle
YBL019W,Cellular component,nucle
YOL070C,Cellular component,cytoplasm
YGR150C,Cellular component,mitochond
YPL200W,Cellular component,nucle
YPL200W,Cellular component,membrane
YPL200W,Cellular component,endoplasm
YNR054C,Cellular component,nucle
YNR054C,Cellular component,nucleolus
YNR054C,Cellular component,cytoplasm
YDR130C,Cellular component,nucle
YEL030W,Cellular component,mitochond
YEL030W,Cellular component,nucle
YBR291C,Cellular component,membrane
YBR291C,Cellular component,mitochond
YHR201C,Cellular component,cytoplasm
YHR201C,Cellular component,mitochond
YHR201C,Cellular component,cytosol
YHR201C,Cellular component,membrane
YGR008C,Cellular component,cytoplasm
YJL030W,Cellular component,nucle
YDR165W,Cellular component,nucle
YDR165W,Cellular component,cytosol
YGR248W,Cellular component,cytosol
YBR074W,Cellular component,membrane
YOR150W,Cellular component,mitochond
YOR150W,Cellular component,ribosomal
YDR055W,Cellular component,membrane
YDL088C,Cellular component,nucle
YLR113W,Cellular component,nucle
YLR113W,Cellular component,cytoplasm
YLR142W,Cellular component,mitochond
YDL197C,Cellular component,nucle
YER130C,Cellular component,cellular_component
YER165W,Cellular component,nucle
YER165W,Cellular component,cytoplasm
YMR106C,Cellular component,nucle
YGL112C,Cellular component,nucle
YGL112C,Cellular component,cytosol
YPR049C,Cellular component,membrane
YBL050W,Cellular component,cytosol
YBL050W,Cellular component,membrane
YJR086W,Cellular component,cytoplasm
YJR086W,Cellular component,membrane
YGR257C,Cellular component,mitochond
YPL018W,Cellular component,nucle
YJR041C,Cellular component,nucle
YJR041C,Cellular component,nucleolus
YKR028W,Cellular component,cytoplasm
YKL037W,Cellular component,mitochond
YMR286W,Cellular component,mitochond
YMR286W,Cellular component,ribosomal
YDL175C,Cellular component,nucle
YDL175C,Cellular component,nucleolus
YFL026W,Cellular component,membrane
YGL029W,Cellular component,nucle
YGL029W,Cellular component,nucleolus
YDL128W,Cellular component,membrane
YPL098C,Cellular component,membrane
YPL098C,Cellular component,mitochond
YMR033W,Cellular component,nucle
YGR215W,Cellular component,mitochond
YGR215W,Cellular component,ribosomal
YOR001W,Cellular component,nucle
YOR001W,Cellular component,nucleolus
YLR276C,Cellular component,nucle
YLR276C,Cellular component,nucleolus
YOL095C,Cellular component,mitochond
YNR022C,Cellular component,mitochond
YNR022C,Cellular component,ribosomal
YDR409W,Cellular component,nucle
YBR221C,Cellular component,mitochond
YBR221C,Cellular component,nucle
YAL005C,Cellular component,membrane
YAL005C,Cellular component,nucle
YAL005C,Cellular component,cytoplasm
YJL121C,Cellular component,cytosol
YKL008C,Cellular component,endoplasm
YBR103W,Cellular component,nucle
YHR064C,Cellular component,cytoplasm
YKL197C,Cellular component,membrane
YGR202C,Cellular component,nucle
YDR377W,Cellular component,mitochond
YIR007W,Cellular component,cytosol
YPL045W,Cellular component,membrane
YLR314C,Cellular component,membrane
YOR327C,Cellular component,membrane
YOL139C,Cellular component,nucle
YOL139C,Cellular component,cytoplasm
YBR207W,Cellular component,membrane
YNL269W,Cellular component,cellular_component
YDR532C,Cellular component,nucle
YKL210W,Cellular component,nucle
YKL210W,Cellular component,cytoplasm
YER146W,Cellular component,nucle
YER146W,Cellular component,nucleolus
YPL132W,Cellular component,mitochond
YPL132W,Cellular component,membrane
YIL114C,Cellular component,membrane
YIL114C,Cellular component,mitochond
YJL089W,Cellular component,nucle
YMR301C,Cellular component,membrane
YMR301C,Cellular component,mitochond
YMR188C,Cellular component,mitochond
YMR188C,Cellular component,ribosomal
YLR130C,Cellular component,membrane
YBR140C,Cellular component,membrane
YMR205C,Cellular component,mitochond
YNL022C,Cellular component,nucle
YNL022C,Cellular component,nucleolus
YML017W,Cellular component,cytoplasm
YKR087C,Cellular component,membrane
YKR087C,Cellular component,mitochond
YOR232W,Cellular component,mitochond
YGR281W,Cellular component,membrane
YBR097W,Cellular component,nucle
YPL221W,Cellular component,endoplasm
YPL274W,Cellular component,membrane
YEL051W,Cellular component,membrane
YGR014W,Cellular component,extracellular
YGR014W,Cellular component,membrane
YGL050W,Cellular component,cellular_component
YER179W,Cellular component,nucle
YMR150C,Cellular component,membrane
YMR150C,Cellular component,mitochond
YFL007W,Cellular component,nucle
YCR012W,Cellular component,cytoplasm
YCR012W,Cellular component,mitochond
YPL084W,Cellular component,cytoplasm
YPR104C,Cellular component,nucle
YPR104C,Cellular component,nucleolus
YPR151C,Cellular component,mitochond
YNL332W,Cellular component,cellular_component
YML028W,Cellular component,cytoplasm
YML028W,Cellular component,cytosol
YLL001W,Cellular component,membrane
YLL001W,Cellular component,mitochond
YLL001W,Cellular component,cytosol
YHL006C,Cellular component,nucle
YHL006C,Cellular component,nucleolus
YLR043C,Cellular component,membrane
YLR043C,Cellular component,mitochond
YLR043C,Cellular component,cytosol
YBR035C,Cellular component,membrane
YBR035C,Cellular component,mitochond
YNL167C,Cellular component,nucle
YNL167C,Cellular component,cytosol
YIL144W,Cellular component,nucle
YIL133C,Cellular component,cytosol
YIL133C,Cellular component,ribosomal
YJL166W,Cellular component,mitochond
YBR148W,Cellular component,membrane
YPL113C,Cellular component,cellular_component
YKL041W,Cellular component,cytoplasm
YNL067W,Cellular component,cytosol
YNL067W,Cellular component,ribosomal
YDR089W,Cellular component,membrane
YKL014C,Cellular component,nucle
YKL014C,Cellular component,nucleolus
YLR237W,Cellular component,membrane
YKL176C,Cellular component,cytoplasm
YKL176C,Cellular component,membrane
YIR024C,Cellular component,membrane
YIR024C,Cellular component,mitochond
YJR008W,Cellular component,nucle
YJR008W,Cellular component,cytoplasm
YFR001W,Cellular component,nucle
YFR001W,Cellular component,nucleolus
YIL031W,Cellular component,nucle
YLR335W,Cellular component,cytoplasm
YLR335W,Cellular component,nucle
YOR020C,Cellular component,mitochond
YJR088C,Cellular component,membrane
YBR268W,Cellular component,mitochond
YBR268W,Cellular component,ribosomal
YPR083W,Cellular component,cytoplasm
YPR083W,Cellular component,mitochond
YDR282C,Cellular component,membrane
YDR282C,Cellular component,mitochond
YDR009W,Cellular component,nucle
YDR009W,Cellular component,cytoplasm
YOL149W,Cellular component,cytoplasm
YOL149W,Cellular component,nucle
YOL149W,Cellular component,membrane
YOR046C,Cellular component,nucle
YOR046C,Cellular component,cytoplasm
YEL018W,Cellular component,nucle
YEL018W,Cellular component,cytosol
YDR432W,Cellular component,nucle
YDR432W,Cellular component,cytoplasm
YGR195W,Cellular component,nucle
YGR195W,Cellular component,cytoplasm
YBL046W,Cellular component,nucle
YBL046W,Cellular component,cytoplasm
YHR036W,Cellular component,nucle
YHR036W,Cellular component,endoplasm
YHR036W,Cellular component,membrane
YOL072W,Cellular component,nucle
YOL123W,Cellular component,nucle
YOL123W,Cellular component,cytoplasm
YML116W,Cellular component,membrane
YNR056C,Cellular component,membrane
YDR185C,Cellular component,membrane
YDR185C,Cellular component,mitochond
YHR207C,Cellular component,nucle
YGR060W,Cellular component,membrane
YGR060W,Cellular component,endoplasm
YOR152C,Cellular component,membrane
YOR152C,Cellular component,endoplasm
YGL031C,Cellular component,cytosol
YGL031C,Cellular component,ribosomal
YJL093C,Cellular component,membrane
YML034W,Cellular component,nucle
YLR144C,Cellular component,membrane
YEL072W,Cellular component,cellular_component
YPR058W,Cellular component,mitochond
YDL020C,Cellular component,nucle
YML061C,Cellular component,nucle
YML061C,Cellular component,mitochond
YML061C,Cellular component,membrane
YDL191W,Cellular component,cytosol
YDL191W,Cellular component,ribosomal
YHR101C,Cellular component,membrane
YHR101C,Cellular component,endoplasm
YPL268W,Cellular component,nucle
YMR242C,Cellular component,cytosol
YMR242C,Cellular component,ribosomal
YOR236W,Cellular component,cytosol
YPL183C,Cellular component,cytoplasm
YJL105W,Cellular component,cellular_component
YMR284W,Cellular component,nucle
YMR035W,Cellular component,membrane
YMR035W,Cellular component,mitochond
YDR107C,Cellular component,membrane
YPR005C,Cellular component,cytoplasm
YNL044W,Cellular component,endoplasm
YDR200C,Cellular component,endoplasm
YDR200C,Cellular component,membrane
YDR255C,Cellular component,cytosol
YGR260W,Cellular component,membrane
YLR274W,Cellular component,nucle
YLR274W,Cellular component,cytoplasm
YJR156C,Cellular component,cellular_component
YDL220C,Cellular component,nucle
YNL142W,Cellular component,membrane
YHR019C,Cellular component,cytosol
YGR138C,Cellular component,membrane
YIL078W,Cellular component,cytoplasm
YBL092W,Cellular component,cytosol
YBL092W,Cellular component,ribosomal
YFL053W,Cellular component,cellular_component
YJL158C,Cellular component,extracellular
YDR375C,Cellular component,membrane
YDR375C,Cellular component,mitochond
YKL140W,Cellular component,membrane
YKL195W,Cellular component,membrane
YKL195W,Cellular component,mitochond
YDR320C,Cellular component,membrane
YDR320C,Cellular component,endoplasm
YNR002C,Cellular component,membrane
YDR452W,Cellular component,membrane
YDR452W,Cellular component,nucle
YDR452W,Cellular component,cytosol
YNL124W,Cellular component,nucle
YOR069W,Cellular component,cytosol
YGR038W,Cellular component,endoplasm
YER140W,Cellular component,membrane
YER140W,Cellular component,endoplasm
YBR104W,Cellular component,mitochond
YBR227C,Cellular component,mitochond
YHR157W,Cellular component,nucle
YPL130W,Cellular component,membrane
YOL100W,Cellular component,nucle
YGR156W,Cellular component,nucle
YGR156W,Cellular component,cytosol
YMR307W,Cellular component,membrane
YMR307W,Cellular component,nucle
YOL006C,Cellular component,nucle
YOL006C,Cellular component,nucleolus
YOL021C,Cellular component,nucle
YOL021C,Cellular component,cytoplasm
YOL021C,Cellular component,nucleolus
YLR132C,Cellular component,nucle
YLR132C,Cellular component,mitochond
YER020W,Cellular component,membrane
YNL201C,Cellular component,nucle
YDR398W,Cellular component,nucle
YDR398W,Cellular component,nucleolus
YER075C,Cellular component,nucle
YER075C,Cellular component,cytoplasm
YJL187C,Cellular component,nucle
YLR018C,Cellular component,nucle
YLR018C,Cellular component,membrane
YKR085C,Cellular component,mitochond
YKR085C,Cellular component,ribosomal
YLR063W,Cellular component,cytoplasm
YOR234C,Cellular component,cytosol
YOR234C,Cellular component,ribosomal
YBR289W,Cellular component,nucle
YBR289W,Cellular component,cytosol
YKR093W,Cellular component,membrane
YKL212W,Cellular component,membrane
YKL212W,Cellular component,endoplasm
YOR269W,Cellular component,nucle
YOR269W,Cellular component,cytoplasm
YOR212W,Cellular component,membrane
YDR032C,Cellular component,membrane
YMR156C,Cellular component,nucle
YCR014C,Cellular component,nucle
YMR129W,Cellular component,nucle
YMR129W,Cellular component,membrane
YPR106W,Cellular component,cellular_component
YPL082C,Cellular component,nucle
YDR451C,Cellular component,nucle
YLL007C,Cellular component,mitochond
YLL007C,Cellular component,membrane
YCR032W,Cellular component,cytosol
YCR032W,Cellular component,membrane
YDR105C,Cellular component,membrane
YLR045C,Cellular component,nucle
YLR098C,Cellular component,nucle
YIR038C,Cellular component,endoplasm
YKR058W,Cellular component,cellular_component
YDR369C,Cellular component,nucle
YAL062W,Cellular component,nucle
YLR453C,Cellular component,nucle
YMR298W,Cellular component,membrane
YMR298W,Cellular component,endoplasm
YDR350C,Cellular component,membrane
YDR350C,Cellular component,mitochond
YIL131C,Cellular component,nucle
YIL131C,Cellular component,cytosol
YBR146W,Cellular component,mitochond
YBR146W,Cellular component,ribosomal
YKL012W,Cellular component,nucle
YPL115C,Cellular component,cytoplasm
YJL164C,Cellular component,nucle
YJL164C,Cellular component,cytoplasm
YNL065W,Cellular component,membrane
YLR191W,Cellular component,membrane
YJL004C,Cellular component,membrane
YCL012C,Cellular component,cellular_component
YMR016C,Cellular component,nucle
YMR016C,Cellular component,cytosol
YIL037C,Cellular component,membrane
YDR475C,Cellular component,cellular_component
YLR340W,Cellular component,cytoplasm
YLR340W,Cellular component,cytosol
YLR340W,Cellular component,ribosomal
YHR055C,Cellular component,cytosol
YKL043W,Cellular component,nucle
YGR171C,Cellular component,mitochond
YAL048C,Cellular component,membrane
YAL048C,Cellular component,mitochond
YGL200C,Cellular component,endoplasm
YGL200C,Cellular component,membrane
YLL052C,Cellular component,membrane
YLL052C,Cellular component,endoplasm
YBR120C,Cellular component,mitochond
YDR280W,Cellular component,nucle
YDR280W,Cellular component,cytoplasm
YDR280W,Cellular component,nucleolus
YHR138C,Cellular component,cellular_component
YOR259C,Cellular component,nucle
YGR197C,Cellular component,membrane
YLL024C,Cellular component,membrane
YLL024C,Cellular component,cytoplasm
YLL024C,Cellular component,mitochond
YLL024C,Cellular component,cytosol
YHL007C,Cellular component,nucle
YHL007C,Cellular component,cytoplasm
YOR375C,Cellular component,nucle
YHR038W,Cellular component,mitochond
YNL222W,Cellular component,nucle
YML118W,Cellular component,cellular_component
YHR205W,Cellular component,membrane
YHR205W,Cellular component,nucle
YHR205W,Cellular component,cytoplasm
YOL121C,Cellular component,cytosol
YOL121C,Cellular component,ribosomal
YNR058W,Cellular component,cytoplasm
YMR215W,Cellular component,membrane
YGR062C,Cellular component,membrane
YGR062C,Cellular component,mitochond
YBR078W,Cellular component,membrane
YPL240C,Cellular component,cytoplasm
YDL022W,Cellular component,nucle
YDL022W,Cellular component,cytosol
YPR021C,Cellular component,membrane
YPR021C,Cellular component,mitochond
YGR244C,Cellular component,mitochond
YDR496C,Cellular component,ribosomal
YEL070W,Cellular component,cellular_component
YML032C,Cellular component,nucle
